PLACA,MES,ANO,QTD_CARRADAS,COD_PA_GCDA,COD_MAN_GCDA,COD_OM
HUY1585,5,2015,5,4569,148,040709
HUY1585,5,2015,2,71106,148,040709
HUY1585,5,2015,5,73665,148,040709
HUY1585,5,2015,4,73666,148,040709
HUY1585,5,2015,4,4694,148,040709
HUY1585,5,2015,1,53199,148,040709
HUY1585,5,2015,4,4690,148,040709
HUY1585,5,2015,2,35997,148,040709
HUY1585,5,2015,2,99042,148,040709
HUY1585,5,2015,1,99043,148,040709
HUY1585,5,2015,2,99044,148,040709
HUY1585,5,2015,1,66895,148,040709
HUY1585,5,2015,4,4660,148,040709
HUY1585,5,2015,4,4684,148,040709
HUY1585,5,2015,9,4675,148,040709
HUY1585,5,2015,2,71104,148,040709
HUY1585,5,2015,1,71105,148,040709
HUY1585,5,2015,1,4687,148,040709
HUY1585,5,2015,1,4664,148,040709
HUY1585,5,2015,1,72491,148,040709
