PLACA,MES,ANO,QTD_CARRADAS,COD_PA_GCDA,COD_MAN_GCDA,COD_OM
BSF4450,4,2016,1,22575,1862,002048
BSF4450,4,2016,3,99878,1862,002048
BSF4450,4,2016,6,22595,1862,002048
BSF4450,4,2016,5,22561,1862,002048
BWB3408,4,2016,2,22577,1862,002048
BWB3408,4,2016,2,41680,1862,002048
BWB3408,4,2016,5,46696,1862,002048
BWB3408,4,2016,1,22591,1862,002048
BWB3408,4,2016,1,99963,1862,002048
BWB3408,4,2016,2,133208,1862,002048
BWB3408,4,2016,3,126513,1862,002048
CPT8179,4,2016,9,57642,1862,002048
CPT8179,4,2016,9,57648,1862,002048
GPE6907,4,2016,4,22593,1862,002048
GPE6907,4,2016,5,148987,1862,002048
IHW9145,4,2016,2,22609,1862,002048
IHW9145,4,2016,3,22603,1862,002048
IHW9145,4,2016,3,111944,1862,002048
IHW9145,4,2016,2,133210,1862,002048
IHW9145,4,2016,2,151273,1862,002048
IJE7607,4,2016,2,22604,1862,002048
IJE7607,4,2016,3,57645,1862,002048
IJE7607,4,2016,6,22590,1862,002048
IJE7607,4,2016,3,133209,1862,002048
IJE7613,4,2016,3,22588,1862,002048
IJE7613,4,2016,3,22584,1862,002048
IJE7613,4,2016,2,22570,1862,002048
IJE7613,4,2016,2,148986,1862,002048
IJE7613,4,2016,1,148989,1862,002048
JLD5026,4,2016,8,22579,1862,002048
JLD5026,4,2016,10,57647,1862,002048
JLD5026,4,2016,2,22601,1862,002048
JLD5026,4,2016,2,100370,1862,002048
KEF3606,4,2016,3,35967,1862,002048
KEF3606,4,2016,8,22602,1862,002048
KEF3606,4,2016,3,22615,1862,002048
KEF3606,4,2016,1,22571,1862,002048
KEK0756,4,2016,1,32238,1862,002048
KEK0756,4,2016,2,22562,1862,002048
KEK0756,4,2016,1,22613,1862,002048
KEK0756,4,2016,1,151272,1862,002048
KFU1275,4,2016,6,32239,1862,002048
KFU1275,4,2016,3,41780,1862,002048
KFU1275,4,2016,4,22614,1862,002048
KFU1275,4,2016,6,57644,1862,002048
khf2472,4,2016,8,22592,1862,002048
khf2472,4,2016,2,22572,1862,002048
khf2472,4,2016,3,92158,1862,002048
khf2472,4,2016,3,111406,1862,002048
khf2472,4,2016,2,129163,1862,002048
KIL9300,4,2016,1,22597,1862,002048
KIL9300,4,2016,5,139464,1862,002048
KIL9300,4,2016,4,32235,1862,002048
KLW6065,4,2016,5,22605,1862,002048
KLW6065,4,2016,4,41681,1862,002048
KLW6065,4,2016,2,22586,1862,002048
KLW6065,4,2016,2,124663,1862,002048
LVR1842,4,2016,8,32237,1862,002048
LVR1842,4,2016,9,119872,1862,002048
LVR1842,4,2016,3,119874,1862,002048
MMV1353,4,2016,8,22582,1862,002048
MMV1353,4,2016,4,22576,1862,002048
MMV1353,4,2016,6,22594,1862,002048
MMV5219,4,2016,1,92154,1862,002048
MMV5219,4,2016,2,22608,1862,002048
MMV5219,4,2016,2,22573,1862,002048
MMV5219,4,2016,1,22607,1862,002048
MMV5219,4,2016,1,123721,1862,002048
MMV5219,4,2016,1,152973,1862,002048
MMV5219,4,2016,1,152974,1862,002048
MNB0272,4,2016,1,22610,1862,002048
MNB0272,4,2016,2,22581,1862,002048
MNB0272,4,2016,1,22580,1862,002048
MNY0881,4,2016,2,22564,1862,002048
MNY0881,4,2016,8,22606,1862,002048
MNY0881,4,2016,5,22583,1862,002048
MNY0881,4,2016,3,111405,1862,002048
PEM9933,4,2016,6,22587,1862,002048
PEM9933,4,2016,2,48600,1862,002048
PEM9933,4,2016,2,111407,1862,002048
PEM9933,4,2016,1,92159,1862,002048
PEM9933,4,2016,2,111402,1862,002048
PEM9933,4,2016,4,152971,1862,002048
